Sensor Name,Variable,Units,Timestamp,Value,Flagged as Suspect Reading,Aggregated Method,Number of records,Location (WKT),Ground Height Above Sea Level,Sensor Height Above Ground,Broker Name,Third Party,Sensor Centroid Longitude,Sensor Centroid Latitude,Raw ID
PER_TTN_AIRQUALITY011,NO2,ugm -3,2025-06-15 15:00:00,66.0,False,Median,2,POINT (-1.617676 54.979118),57.6699981689453,2.0,Lorawan,False,-1.617676,54.979118,80144
PER_AIRMON_MONITOR1135100,NO2,ugm -3,2025-06-15 15:00:00,3.11704,False,Median,1,POINT (-1.617676 54.979118),57.6699981689453,2.0,aq_mesh_api,False,-1.617676,54.979118,79525
PER_TTN_AIRQUALITY008,NO2,ugm -3,2025-06-15 15:00:00,81.5,False,Median,2,POINT (-1.617676 54.979118),57.6699981689453,2.0,Lorawan,False,-1.617676,54.979118,80141
PER_AIRMON_MESH1966150,NO2,ugm -3,2025-06-15 15:00:00,26.11508,False,Median,15,POINT (-1.690413 54.957331),3.80999994277954,2.0,aq_mesh_api,False,-1.690413,54.957331,79202
PER_TTN_AIRQUALITY012,NO2,ugm -3,2025-06-15 15:00:00,110.0,False,Median,1,POINT (-1.617676 54.979118),57.6699981689453,2.0,Lorawan,False,-1.617676,54.979118,80159
PER_AIRMON_MONITOR1157100,NO2,ugm -3,2025-06-15 15:00:00,17.9352,False,Median,1,POINT (-1.623043 54.970093),45.2700004577637,2.0,aq_mesh_api,False,-1.623043,54.970093,79565
PER_AIRMON_MESH1965150,NO2,ugm -3,2025-06-15 15:00:00,22.748,False,Median,15,POINT (-1.468363 55.015287),58.0,2.0,aq_mesh_api,False,-1.468363,55.015287,79201
PER_AIRMON_MONITOR1156100,NO2,ugm -3,2025-06-15 15:00:00,13.37432,False,Median,1,POINT (-1.585004 54.912211),82.3000030517578,2.0,aq_mesh_api,False,-1.585004,54.912211,79564
PER_TTN_AIRQUALITY009,NO2,ugm -3,2025-06-15 15:00:00,66.0,False,Median,1,POINT (-1.617676 54.979118),57.6699981689453,2.0,Lorawan,False,-1.617676,54.979118,80142
PER_AIRMON_MONITOR1056100,NO2,ugm -3,2025-06-15 15:00:00,22.00916,False,Median,1,POINT (-1.60341 54.96565),31.4099998474121,2.0,aq_mesh_api,False,-1.60341,54.96565,79191
PER_AIRMON_MESH1957150,NO2,ugm -3,2025-06-15 15:00:00,48.12048,False,Median,15,POINT (-1.704298 55.000748),115.569999694824,2.0,aq_mesh_api,False,-1.704298,55.000748,79194
PER_AIRMON_MESH1916150,NO2,ugm -3,2025-06-15 15:00:00,23.2744,False,Median,15,POINT (-1.590481 55.007634),59.810001373291,2.0,aq_mesh_api,False,-1.590481,55.007634,79159
PER_TTN_AIRQUALITY005,NO2,ugm -3,2025-06-15 15:00:00,74.0,False,Median,1,POINT (-1.617676 54.979118),57.6699981689453,2.0,Lorawan,False,-1.617676,54.979118,80138
PER_AIRMON_MESH1922150,NO2,ugm -3,2025-06-15 15:00:00,20.21,False,Median,15,POINT (-1.609327 54.991308),56.8699989318848,2.0,aq_mesh_api,False,-1.609327,54.991308,79165
PER_AIRMON_MONITOR915,NO2,ugm -3,2025-06-15 15:00:00,24.17116,False,Median,1,POINT (-1.594598 54.987092),41.5099983215332,2.0,aq_mesh_api,False,-1.594598,54.987092,1725
PER_AIRMON_MESH1919150,NO2,ugm -3,2025-06-15 15:00:00,16.1492,False,Median,15,POINT (-1.59605 54.902785),19.0300006866455,2.0,aq_mesh_api,False,-1.59605,54.902785,79162
PER_AIRMON_MESH1915150,NO2,ugm -3,2025-06-15 15:00:00,59.22375999999999,False,Median,15,POINT (-1.718833 54.995352),107.669998168945,2.0,aq_mesh_api,False,-1.718833,54.995352,79158
PER_AIRMON_MONITOR1155100,NO2,ugm -3,2025-06-15 15:00:00,1.73336,False,Median,1,POINT (-1.578967 55.00928),69.0800018310547,2.0,aq_mesh_api,False,-1.578967,55.00928,79563
PER_TTN_AIRQUALITY004,NO2,ugm -3,2025-06-15 15:00:00,66.0,False,Median,1,POINT (-1.617676 54.979118),57.6699981689453,2.0,Lorawan,False,-1.617676,54.979118,80137
PER_AIRMON_MONITOR914,NO2,ugm -3,2025-06-15 15:00:00,4.41612,False,Median,1,POINT (-1.619756 55.006886),62.5900001525879,2.0,aq_mesh_api,False,-1.619756,55.006886,1726
PER_AIRMON_MESH1907150,NO2,ugm -3,2025-06-15 15:00:00,14.833199999999998,False,Median,15,POINT (-1.550289 54.980095),27.6000003814697,2.0,aq_mesh_api,False,-1.550289,54.980095,79150
PER_AIRMON_MONITOR914,NO2,ugm -3,2025-06-15 15:15:00,3.52876,False,Median,1,POINT (-1.619756 55.006886),62.5900001525879,2.0,aq_mesh_api,False,-1.619756,55.006886,1726
PER_TTN_AIRQUALITY007,NO2,ugm -3,2025-06-15 15:15:00,78.0,False,Median,2,POINT (-1.617676 54.979118),57.6699981689453,2.0,Lorawan,False,-1.617676,54.979118,80140
PER_TTN_AIRQUALITY006,NO2,ugm -3,2025-06-15 15:15:00,117.0,False,Median,1,POINT (-1.617676 54.979118),57.6699981689453,2.0,Lorawan,False,-1.617676,54.979118,80139
PER_AIRMON_MESH1919150,NO2,ugm -3,2025-06-15 15:15:00,16.5628,False,Median,15,POINT (-1.59605 54.902785),19.0300006866455,2.0,aq_mesh_api,False,-1.59605,54.902785,79162
PER_AIRMON_MESH1971150,NO2,ugm -3,2025-06-15 15:15:00,12.0978,False,Median,15,POINT (-1.583791 54.991159),45.5499992370605,2.0,aq_mesh_api,False,-1.583791,54.991159,79207
PER_AIRMON_MESH306245,NO2,ugm -3,2025-06-15 15:15:00,30.17024,False,Median,1,POINT (-1.648605 54.977836),111.389999389648,2.0,aq_mesh_api,False,-1.648605,54.977836,79521
PER_TTN_AIRQUALITY005,NO2,ugm -3,2025-06-15 15:15:00,73.0,False,Median,2,POINT (-1.617676 54.979118),57.6699981689453,2.0,Lorawan,False,-1.617676,54.979118,80138
PER_AIRMON_MESH1916150,NO2,ugm -3,2025-06-15 15:15:00,26.4516,False,Median,15,POINT (-1.590481 55.007634),59.810001373291,2.0,aq_mesh_api,False,-1.590481,55.007634,79159
PER_AIRMON_MONITOR1155100,NO2,ugm -3,2025-06-15 15:15:00,2.3876,False,Median,1,POINT (-1.578967 55.00928),69.0800018310547,2.0,aq_mesh_api,False,-1.578967,55.00928,79563
PER_AIRMON_MONITOR1157100,NO2,ugm -3,2025-06-15 15:15:00,13.0096,False,Median,1,POINT (-1.623043 54.970093),45.2700004577637,2.0,aq_mesh_api,False,-1.623043,54.970093,79565
PER_TTN_AIRQUALITY004,NO2,ugm -3,2025-06-15 15:15:00,84.5,False,Median,2,POINT (-1.617676 54.979118),57.6699981689453,2.0,Lorawan,False,-1.617676,54.979118,80137
PER_TTN_AIRQUALITY008,NO2,ugm -3,2025-06-15 15:15:00,91.0,False,Median,1,POINT (-1.617676 54.979118),57.6699981689453,2.0,Lorawan,False,-1.617676,54.979118,80141
PER_AIRMON_MESH303245,NO2,ugm -3,2025-06-15 15:15:00,-6.88268,True,Median,1,POINT (-1.710484 54.991435),111.110000610352,2.0,aq_mesh_api,False,-1.710484,54.991435,79515
PER_AIRMON_MESH1907150,NO2,ugm -3,2025-06-15 15:15:00,14.664,False,Median,15,POINT (-1.550289 54.980095),27.6000003814697,2.0,aq_mesh_api,False,-1.550289,54.980095,79150
PER_AIRMON_MONITOR1056100,NO2,ugm -3,2025-06-15 15:15:00,10.90588,False,Median,1,POINT (-1.60341 54.96565),31.4099998474121,2.0,aq_mesh_api,False,-1.60341,54.96565,79191
PER_TTN_AIRQUALITY009,NO2,ugm -3,2025-06-15 15:15:00,65.0,False,Median,3,POINT (-1.617676 54.979118),57.6699981689453,2.0,Lorawan,False,-1.617676,54.979118,80142
PER_AIRMON_MESH1957150,NO2,ugm -3,2025-06-15 15:15:00,58.56012,False,Median,15,POINT (-1.704298 55.000748),115.569999694824,2.0,aq_mesh_api,False,-1.704298,55.000748,79194
PER_AIRMON_MONITOR1156100,NO2,ugm -3,2025-06-15 15:15:00,14.27672,False,Median,1,POINT (-1.585004 54.912211),82.3000030517578,2.0,aq_mesh_api,False,-1.585004,54.912211,79564
PER_AIRMON_MESH1966150,NO2,ugm -3,2025-06-15 15:15:00,29.51788,False,Median,15,POINT (-1.690413 54.957331),3.80999994277954,2.0,aq_mesh_api,False,-1.690413,54.957331,79202
PER_TTN_AIRQUALITY011,NO2,ugm -3,2025-06-15 15:15:00,72.0,False,Median,2,POINT (-1.617676 54.979118),57.6699981689453,2.0,Lorawan,False,-1.617676,54.979118,80144
PER_AIRMON_MONITOR1048100,NO2,ugm -3,2025-06-15 15:15:00,20.15172,False,Median,1,POINT (-1.558751 54.996488),39.0400009155273,2.0,aq_mesh_api,False,-1.558751,54.996488,79184
PER_AIRMON_MESH300245,NO2,ugm -3,2025-06-15 15:15:00,28.08156,False,Median,1,POINT (-1.637606 54.969172),84.9800033569336,2.0,aq_mesh_api,False,-1.637606,54.969172,79516
PER_AIRMON_MESH1968150,NO2,ugm -3,2025-06-15 15:15:00,30.5688,False,Median,15,POINT (-1.614848 54.97149),42.0400009155273,2.0,aq_mesh_api,False,-1.614848,54.97149,79204
PER_AIRMON_MESH1921150,NO2,ugm -3,2025-06-15 15:15:00,9.8512,False,Median,15,POINT (-1.614127 54.972662),42.5299987792969,2.0,aq_mesh_api,False,-1.614127,54.972662,79164
PER_AIRMON_MESH307245,NO2,ugm -3,2025-06-15 15:15:00,29.61564,False,Median,1,POINT (-1.624621 55.007407),66.1900024414062,2.0,aq_mesh_api,False,-1.624621,55.007407,79522
PER_AIRMON_MESH1915150,NO2,ugm -3,2025-06-15 15:15:00,61.99675999999999,False,Median,15,POINT (-1.718833 54.995352),107.669998168945,2.0,aq_mesh_api,False,-1.718833,54.995352,79158
PER_AIRMON_MONITOR1135100,NO2,ugm -3,2025-06-15 15:15:00,2.48536,False,Median,1,POINT (-1.617676 54.979118),57.6699981689453,2.0,aq_mesh_api,False,-1.617676,54.979118,79525
PER_AIRMON_MESH1970150,NO2,ugm -3,2025-06-15 15:15:00,14.118799999999998,False,Median,15,POINT (-1.576209 54.984303),42.3499984741211,2.0,aq_mesh_api,False,-1.576209,54.984303,79206
PER_AIRMON_MONITOR915,NO2,ugm -3,2025-06-15 15:15:00,14.95728,False,Median,1,POINT (-1.594598 54.987092),41.5099983215332,2.0,aq_mesh_api,False,-1.594598,54.987092,1725
